Name,Age,Gender,Math,Physics,CS,Passed
Tom,22,M,91,48,63,Yes
Tom,24,F,52,63,43,No
Paul,25,F,37,97,100,Yes
Bob,24,M,77,94,36,Yes
Frank,22,M,66,97,37,Yes
Noah,22,F,99,100,49,Yes
Noah,24,F,44,67,47,No
Bob,21,F,95,77,84,Yes
Eva,24,M,83,99,95,Yes
Olivia,20,M,61,34,56,No
Steve,19,F,39,41,30,No
Mia,20,F,34,56,85,No
Diana,18,M,81,71,88,Yes
Frank,21,M,55,77,87,Yes
Diana,23,M,57,60,95,Yes
Ivy,23,M,51,82,54,Yes
Olivia,21,F,72,47,51,No
Ivy,18,F,78,90,54,Yes
Eva,22,F,31,100,41,No
Steve,20,M,87,72,41,Yes
Grace,22,F,55,85,88,Yes
Bob,18,M,90,83,97,Yes
Steve,25,M,45,32,93,No
Olivia,21,M,45,54,87,Yes
Jack,20,F,71,39,58,No
Noah,18,F,94,99,92,Yes
Frank,24,M,51,88,45,Yes
Frank,19,F,70,100,74,Yes
Paul,21,F,41,91,77,Yes
Paul,18,M,84,89,72,Yes
Mia,20,M,71,90,52,Yes
Ivy,25,M,30,85,55,No
Quinn,24,F,70,32,91,Yes
Mia,18,M,91,60,98,Yes
Jack,24,F,77,45,80,Yes
Mia,20,M,91,51,95,Yes
Frank,25,M,87,41,81,Yes
Henry,18,F,97,64,81,Yes
Liam,21,M,93,97,86,Yes
Charlie,23,F,82,68,94,Yes
Paul,22,M,39,90,55,Yes
Bob,22,F,46,38,94,No
Alice,25,M,32,44,68,No
Mia,25,M,40,63,91,Yes
Bob,18,F,82,51,99,Yes
Rachel,21,F,47,48,65,No
Noah,19,M,46,99,52,Yes
Noah,20,F,96,96,86,Yes
Tom,20,M,96,76,89,Yes
Rachel,23,F,90,73,73,Yes
Henry,24,M,71,87,90,Yes
Charlie,21,F,41,100,40,Yes
Diana,23,F,53,80,30,No
Frank,22,M,69,69,46,Yes
Frank,22,F,49,77,34,No
Eva,18,F,78,80,86,Yes
Diana,20,M,52,97,56,Yes
Ivy,20,M,90,49,66,Yes
Bob,18,F,50,57,99,Yes
Noah,19,M,34,84,93,Yes
Mia,18,F,37,40,70,No
Frank,20,M,96,62,82,Yes
Rachel,19,F,72,35,73,Yes
Rachel,19,F,85,47,35,No
Noah,24,F,31,46,63,No
Uma,25,M,49,50,60,No
Tom,19,M,62,64,100,Yes
Paul,19,F,60,69,96,Yes
Olivia,18,F,88,54,60,Yes
Olivia,24,M,58,47,40,No
Mia,21,F,52,49,100,Yes
Noah,21,M,30,60,84,No
Jack,19,F,97,66,55,Yes
Eva,21,F,32,69,54,No
Alice,23,F,82,100,33,Yes
Jack,19,M,81,91,60,Yes
Paul,23,M,53,36,76,No
Steve,22,M,80,69,37,Yes
Eva,18,F,87,42,45,No
Rachel,18,F,46,47,49,No
Henry,24,F,88,66,79,Yes
Henry,25,F,90,52,76,Yes
Liam,19,F,76,85,33,Yes
Bob,18,M,96,80,63,Yes
Alice,22,F,53,63,50,No
Uma,21,F,54,86,42,Yes
Mia,18,M,54,89,31,No
Olivia,20,M,100,84,52,Yes
Eva,24,F,82,71,92,Yes
Charlie,20,M,40,85,37,No
Frank,18,M,68,57,49,No
Eva,24,M,69,75,66,Yes
Ivy,19,M,61,51,72,Yes
Jack,22,M,52,30,37,No
Mia,22,F,76,64,35,No
Charlie,22,M,76,38,57,No
Uma,18,F,49,76,51,No
Olivia,19,M,58,70,56,Yes
Diana,25,M,43,47,46,No
Noah,21,M,46,44,65,No
Uma,21,F,59,48,39,No
Tom,24,M,78,65,94,Yes
Grace,22,F,58,66,56,Yes
Eva,20,M,47,43,55,No
Eva,18,M,74,55,57,Yes
Tom,19,F,84,43,38,No
Paul,19,M,67,55,66,Yes
Liam,23,M,62,59,86,Yes
Diana,22,M,65,64,30,No
Bob,22,M,50,46,73,No
Charlie,20,M,88,59,53,Yes
Alice,25,M,34,64,79,No
Charlie,24,M,50,32,87,No
Grace,20,F,99,49,76,Yes
Charlie,25,M,95,32,78,Yes
Uma,22,M,59,73,42,No
Frank,22,M,61,70,33,No
Frank,22,M,96,47,83,Yes
Quinn,23,F,89,38,79,Yes
Steve,18,M,66,36,59,No
Alice,20,F,56,60,53,No
Rachel,18,F,57,98,35,Yes
Paul,25,M,32,76,85,Yes
Charlie,23,M,77,70,95,Yes
Uma,22,F,93,48,76,Yes
Quinn,22,M,60,35,98,Yes
Noah,21,F,57,78,46,Yes
Uma,22,M,74,89,94,Yes
Frank,20,M,81,92,36,Yes
Rachel,20,M,90,35,100,Yes
Olivia,18,F,77,84,90,Yes
Grace,22,M,67,91,35,Yes
Ivy,19,F,93,96,75,Yes
Frank,24,M,96,77,68,Yes
Noah,24,F,89,37,30,No
Uma,23,F,60,45,58,No
Steve,25,M,80,87,71,Yes
Henry,25,F,73,93,93,Yes
Rachel,20,F,92,84,98,Yes
Charlie,21,F,77,86,100,Yes
Charlie,24,F,74,82,94,Yes
Uma,21,F,78,37,39,No
Paul,21,F,53,100,91,Yes
Tom,23,F,62,45,67,No
Paul,24,F,61,49,47,No
Tom,22,M,59,58,40,No
Charlie,24,F,49,61,68,No
Uma,18,M,89,88,65,Yes
Olivia,25,F,92,67,39,Yes
Liam,23,F,60,97,93,Yes
Paul,19,M,92,85,78,Yes
Olivia,22,F,96,55,73,Yes
Ivy,22,M,75,61,37,No
Tom,19,M,86,33,72,Yes
Liam,21,M,65,51,94,Yes
Mia,22,F,83,63,68,Yes
Liam,22,F,65,46,43,No
Grace,23,F,91,58,32,Yes
Eva,25,F,67,82,80,Yes
Paul,23,F,97,69,46,Yes
Henry,21,M,82,66,81,Yes
Paul,20,F,58,81,46,Yes
Paul,25,F,99,54,52,Yes
Frank,18,F,93,32,58,Yes
Liam,22,F,42,94,82,Yes
Liam,25,M,67,74,43,Yes
Alice,19,M,79,50,95,Yes
Eva,20,F,70,57,86,Yes
Grace,22,M,77,82,34,Yes
Liam,22,M,43,86,80,Yes
Henry,22,M,92,58,69,Yes
Olivia,20,F,91,45,55,Yes
Noah,22,M,44,33,82,No
Mia,24,F,98,96,58,Yes
Diana,22,F,52,31,89,No
Liam,24,M,62,70,57,Yes
Alice,18,F,66,82,83,Yes
Uma,25,M,35,78,45,No
Charlie,19,M,87,91,63,Yes
Ivy,20,M,40,31,74,No
Noah,24,F,80,73,86,Yes
Henry,19,M,32,97,57,Yes
Mia,20,M,72,38,57,No
Jack,19,M,97,81,67,Yes
Grace,19,F,59,79,89,Yes
Diana,19,F,52,91,71,Yes
Alice,19,M,78,70,86,Yes
Alice,18,F,30,38,62,No
Noah,19,F,39,92,55,Yes
Charlie,19,M,72,83,38,Yes
Uma,23,M,39,31,39,No
Henry,20,F,84,48,79,Yes
Noah,18,M,48,92,80,Yes
Quinn,22,M,40,79,66,Yes
Rachel,19,M,58,75,52,Yes
Paul,18,M,58,87,81,Yes
Rachel,22,M,58,81,58,Yes
Steve,21,M,38,74,43,No
Jack,23,F,85,69,48,Yes
Paul,25,F,68,60,94,Yes
Frank,19,F,38,81,48,No
Rachel,23,M,99,85,77,Yes
Paul,23,M,87,61,97,Yes
Mia,23,F,66,98,94,Yes
Charlie,19,F,54,53,68,No
Tom,22,M,69,52,58,No
Diana,23,F,92,75,86,Yes
Paul,23,F,83,80,33,Yes
Paul,25,F,79,30,91,Yes
Henry,22,F,74,43,43,No
Charlie,21,M,33,30,98,No
Frank,19,F,84,73,30,Yes
Ivy,23,M,81,52,45,No
Jack,22,F,56,59,46,No
Steve,19,M,59,59,75,Yes
Paul,24,M,85,47,91,Yes
Quinn,24,M,69,58,33,No
Steve,22,M,40,87,73,Yes
Bob,25,F,54,51,49,No
Ivy,18,F,59,30,41,No
Mia,19,M,46,98,35,No
Alice,24,M,71,93,59,Yes
Eva,25,M,78,88,100,Yes
Jack,18,F,54,93,39,Yes
Tom,20,F,78,33,81,Yes
Frank,18,F,61,57,67,Yes
Tom,24,M,50,86,60,Yes
Frank,23,M,74,40,38,No
Jack,24,M,72,72,99,Yes
Mia,24,F,50,40,47,No
Ivy,20,M,59,93,54,Yes
Mia,23,M,100,92,40,Yes
Rachel,19,M,75,76,56,Yes
Mia,23,M,66,64,98,Yes
Eva,18,F,60,63,61,Yes
Grace,25,F,73,100,59,Yes
Ivy,20,F,36,36,75,No
Ivy,24,M,94,52,86,Yes
Diana,18,M,51,58,46,No
Bob,18,M,77,88,94,Yes
Uma,18,M,94,67,81,Yes
Quinn,19,M,59,32,81,No
Rachel,22,F,30,78,52,No
Noah,18,M,89,48,85,Yes
Uma,23,F,48,94,51,Yes
Olivia,24,F,80,67,47,Yes
Quinn,18,F,65,36,76,No
Quinn,20,M,48,56,73,No
Frank,18,M,82,91,57,Yes
Jack,25,M,38,57,30,No
Frank,25,F,47,83,46,No
Diana,20,M,90,56,69,Yes
Diana,23,F,57,61,43,No
Grace,22,M,80,44,87,Yes
Frank,20,M,68,51,32,No
Olivia,19,F,39,63,79,Yes
Noah,20,M,44,40,98,Yes
Grace,24,F,33,50,67,No
Frank,20,F,43,62,52,No
Charlie,19,F,94,32,42,No
Grace,21,M,94,87,92,Yes
Alice,22,F,75,32,47,No
Bob,23,M,35,58,94,Yes
Alice,22,F,66,62,42,No
Jack,18,M,82,55,100,Yes
Frank,23,M,42,83,81,Yes
Charlie,19,F,59,83,69,Yes
Alice,20,F,79,74,58,Yes
Rachel,18,M,44,51,89,Yes
Rachel,19,M,74,42,37,No
Paul,22,F,62,61,51,No
Mia,23,M,98,89,32,Yes
Steve,20,F,43,53,85,Yes
Charlie,23,M,33,44,38,No
Alice,22,M,52,72,48,No
Henry,18,M,86,62,51,Yes
Quinn,22,M,35,82,59,No
Eva,22,F,36,96,63,Yes
Paul,24,F,91,43,66,Yes
Quinn,22,M,40,31,84,No
Liam,24,F,38,100,83,Yes
Mia,20,M,59,71,77,Yes
Noah,22,M,71,47,39,No
Rachel,25,F,85,97,37,Yes
Paul,18,M,57,87,41,Yes
Noah,20,M,46,30,78,No
Jack,19,M,61,58,62,Yes
Steve,21,F,31,76,68,No
Steve,23,F,78,42,60,Yes
Olivia,21,M,62,40,75,No
Steve,20,F,85,38,63,Yes
Mia,21,F,83,44,40,No
Frank,20,F,81,53,92,Yes
Uma,18,M,69,89,100,Yes
Henry,24,F,57,36,66,No
Paul,24,M,86,61,68,Yes
Jack,24,F,74,61,58,Yes
Diana,24,F,43,100,40,Yes
Tom,19,F,91,96,60,Yes
Liam,25,F,91,98,79,Yes
Steve,23,M,86,89,74,Yes
Steve,23,M,43,31,76,No
Charlie,24,F,81,45,57,Yes
Ivy,25,F,37,61,33,No
Diana,20,F,64,90,36,Yes
Frank,19,M,50,85,84,Yes
Grace,18,M,82,48,55,Yes
Steve,25,F,42,85,74,Yes
Henry,20,F,86,96,84,Yes
Paul,20,F,66,69,72,Yes
Bob,19,F,53,75,42,No
Alice,22,F,35,30,98,No
Mia,22,F,94,52,82,Yes
Eva,20,F,57,77,93,Yes
Charlie,21,F,64,92,97,Yes
Bob,22,F,39,31,72,No
Henry,25,F,96,66,77,Yes
Henry,21,M,39,72,70,Yes
Bob,19,M,63,67,43,No
Frank,20,F,56,62,42,No
Jack,18,F,94,41,62,Yes
Tom,21,M,59,58,99,Yes
Olivia,18,M,86,64,62,Yes
Grace,22,F,96,98,69,Yes
Charlie,21,F,94,35,83,Yes
Liam,25,M,85,38,90,Yes
Liam,19,M,95,54,63,Yes
Uma,24,F,87,66,46,Yes
Diana,18,F,48,66,86,Yes
Liam,19,M,39,88,59,Yes
Henry,25,F,87,70,51,Yes
Uma,22,F,49,52,73,No
Liam,24,M,95,91,86,Yes
Rachel,19,M,98,91,76,Yes
Quinn,21,M,63,92,43,Yes
Noah,22,M,53,37,65,No
Olivia,24,F,39,88,60,Yes
Mia,21,M,30,92,99,Yes
Ivy,18,M,62,77,38,No
Alice,20,M,66,68,64,Yes
Liam,22,M,94,89,52,Yes
Tom,18,F,44,39,83,No
Charlie,24,M,91,87,99,Yes
Liam,21,M,61,45,38,No
Ivy,23,F,75,79,81,Yes
Grace,21,F,54,93,66,Yes
Tom,25,F,30,72,84,Yes
Tom,23,F,63,76,49,Yes
Liam,25,M,95,70,95,Yes
Grace,18,F,32,37,51,No
Rachel,20,M,31,85,86,Yes
Paul,19,F,95,54,33,Yes
Bob,24,M,34,89,50,No
Frank,24,M,55,83,94,Yes
Liam,18,M,83,49,52,Yes
Grace,22,M,55,35,92,Yes
Steve,22,M,92,100,84,Yes
Charlie,25,M,53,34,81,No
Quinn,25,M,87,51,93,Yes
Grace,22,M,39,94,58,Yes
Quinn,18,M,64,84,71,Yes
Henry,21,M,59,89,36,Yes
Liam,21,F,76,48,77,Yes
Henry,24,F,79,68,62,Yes
Diana,23,M,42,36,71,No
Charlie,23,M,70,70,46,Yes
Uma,22,M,84,34,53,No
Bob,18,F,71,98,68,Yes
Noah,24,F,84,40,56,Yes
Ivy,21,F,80,68,52,Yes
Rachel,20,F,32,44,95,No
Alice,18,F,65,55,77,Yes
Henry,19,F,100,83,89,Yes
Diana,24,F,37,33,32,No
Quinn,22,F,77,33,63,No
Liam,18,M,35,40,43,No
Rachel,21,F,80,47,34,No
Bob,18,F,71,79,44,Yes
Quinn,18,F,64,95,62,Yes
Mia,18,F,47,94,95,Yes
Mia,20,M,67,43,93,Yes
Paul,24,M,49,69,80,Yes
Frank,20,F,34,99,67,Yes
Bob,25,F,35,56,92,Yes
Alice,25,F,57,83,46,Yes
Mia,18,M,66,34,54,No
Paul,22,M,69,41,87,Yes
Ivy,24,F,86,90,62,Yes
Steve,20,F,59,42,55,No
Uma,19,M,80,35,48,No
Tom,25,M,96,92,54,Yes
Uma,24,F,81,50,91,Yes
Ivy,18,F,42,32,99,No
Steve,18,M,46,31,87,No
Charlie,25,M,65,49,70,Yes
Tom,23,F,44,92,43,No
Charlie,24,F,38,84,67,Yes
Paul,22,M,48,67,63,No
Mia,18,F,46,74,98,Yes
Olivia,24,F,88,35,81,Yes
Charlie,20,F,69,64,33,No
Rachel,24,F,83,47,40,No
Alice,19,F,82,94,73,Yes
Jack,24,M,68,91,71,Yes
Tom,23,F,32,66,98,Yes
Eva,25,F,98,50,85,Yes
Ivy,20,M,63,95,69,Yes
Tom,24,F,69,88,55,Yes
Noah,20,F,48,33,80,No
Eva,21,M,56,92,87,Yes
Frank,21,F,72,62,92,Yes
Bob,18,F,53,56,52,No
Rachel,24,M,46,37,81,No
Jack,18,F,95,83,61,Yes
Quinn,23,M,79,50,68,Yes
Uma,25,F,61,80,99,Yes
Ivy,20,M,90,97,99,Yes
Eva,22,M,64,39,75,No
Quinn,23,F,93,91,52,Yes
Eva,21,F,69,36,47,No
Mia,25,M,69,46,58,No
Noah,19,F,60,92,80,Yes
Ivy,24,F,98,89,45,Yes
Quinn,24,F,82,95,97,Yes
Eva,25,M,78,75,84,Yes
Henry,23,F,81,47,73,Yes
Quinn,21,F,73,32,79,Yes
Rachel,21,F,78,70,63,Yes
Mia,19,F,39,69,37,No
Uma,24,F,37,94,39,No
Steve,24,M,40,69,87,Yes
Paul,22,F,64,52,58,No
Alice,20,M,92,93,84,Yes
Henry,21,F,91,58,67,Yes
Noah,22,M,69,34,30,No
Ivy,21,M,56,64,38,No
Ivy,18,F,51,62,83,Yes
Steve,18,M,62,78,34,No
Rachel,21,M,85,41,46,No
Tom,19,F,72,45,92,Yes
Alice,20,F,64,60,44,No
Mia,20,F,86,42,37,No
Alice,20,F,68,52,94,Yes
Grace,24,F,68,76,33,No
Diana,18,M,80,90,38,Yes
Noah,23,M,47,36,32,No
Steve,24,M,100,39,74,Yes
Grace,25,M,94,80,48,Yes
Frank,23,F,62,79,91,Yes
Diana,23,F,42,53,38,No
Eva,22,M,66,52,95,Yes
Tom,25,M,32,53,51,No
Grace,20,F,78,30,46,No
Bob,23,M,68,93,62,Yes
Charlie,23,M,75,73,67,Yes
Charlie,19,F,43,86,84,Yes
Tom,25,F,88,90,89,Yes
Rachel,25,M,66,62,76,Yes
Noah,21,M,73,35,96,Yes
Uma,25,M,32,73,43,No
Quinn,19,F,43,34,44,No
Uma,25,M,35,74,98,Yes
Tom,20,F,91,67,74,Yes
Quinn,23,M,96,51,60,Yes
Steve,21,M,32,51,34,No
Diana,19,F,59,56,61,No
Quinn,20,M,88,94,93,Yes
Noah,21,M,50,44,34,No
Tom,22,M,76,40,75,Yes
Rachel,20,F,32,70,61,No
Tom,19,M,56,87,80,Yes
Frank,25,M,43,56,98,Yes
Noah,18,F,83,88,69,Yes
Quinn,20,M,100,83,61,Yes
Rachel,18,M,67,45,100,Yes
Paul,21,M,62,38,35,No
Rachel,18,F,67,76,58,Yes
Alice,22,F,69,38,72,No
Tom,24,M,70,63,88,Yes
Quinn,22,M,78,81,55,Yes
Uma,22,M,50,84,49,Yes
Quinn,22,F,44,79,76,Yes
Charlie,25,M,82,31,54,No
Diana,22,F,43,46,91,Yes
Uma,25,M,49,83,100,Yes
Noah,23,F,67,64,82,Yes
Jack,22,F,77,44,48,No
Mia,20,M,59,39,93,Yes
Henry,25,M,33,30,38,No
Quinn,20,F,65,37,82,Yes
Diana,19,F,92,60,64,Yes
Grace,24,M,100,91,45,Yes
Liam,21,F,34,51,57,No
Steve,24,F,86,65,47,Yes
Olivia,18,F,91,86,34,Yes
Henry,20,F,82,76,43,Yes
Eva,19,M,39,43,93,No
Uma,20,M,47,89,51,Yes
Ivy,19,F,45,100,74,Yes
Rachel,21,M,63,91,100,Yes
Bob,25,M,94,93,38,Yes
Mia,21,M,41,69,58,No
Mia,18,F,68,30,66,No
Paul,20,M,56,37,83,No
Uma,23,M,61,64,51,No
Frank,20,M,69,62,99,Yes
Quinn,18,M,66,98,98,Yes
Quinn,19,F,76,39,88,Yes
Olivia,19,M,40,57,57,No
Alice,24,M,41,47,32,No
Rachel,23,M,99,62,53,Yes
Ivy,19,M,49,85,46,Yes
Ivy,23,M,44,43,79,No
Uma,18,M,88,74,37,Yes
Charlie,23,M,70,42,60,No
Liam,24,F,93,54,89,Yes
Noah,23,M,91,39,77,Yes
Mia,21,F,72,74,90,Yes
Jack,25,M,67,45,74,Yes
Rachel,22,F,99,85,65,Yes
Eva,19,M,82,82,93,Yes
Jack,22,M,98,57,53,Yes
Ivy,19,F,100,79,61,Yes
Ivy,19,M,41,40,44,No
Tom,24,M,73,80,97,Yes
Bob,24,M,98,43,37,No
Eva,24,M,39,46,47,No
Eva,24,M,67,49,51,No
Uma,25,F,66,99,83,Yes
Noah,19,M,45,88,49,Yes
Mia,23,F,45,44,97,Yes
Henry,22,F,78,95,55,Yes
Charlie,20,M,39,81,35,No
Frank,23,M,96,47,40,Yes
Noah,24,F,41,77,53,No
Henry,18,F,88,86,100,Yes
Grace,20,M,71,36,39,No
Steve,25,F,63,94,92,Yes
Ivy,21,F,84,44,58,Yes
Paul,23,F,42,34,97,No
Mia,19,M,34,76,98,Yes
Ivy,21,F,32,58,73,No
Olivia,23,F,67,67,79,Yes
Charlie,25,F,37,70,77,Yes
Liam,24,M,80,35,36,No
Olivia,20,F,59,39,71,No
Diana,21,M,91,96,71,Yes
Frank,22,M,76,33,66,No
Olivia,23,M,75,79,57,Yes
Ivy,20,M,89,76,94,Yes
Ivy,22,F,63,41,54,No
Uma,20,M,81,82,100,Yes
Uma,21,F,93,79,31,Yes
Henry,23,F,84,30,53,No
Bob,18,F,51,59,77,Yes
Charlie,22,F,64,52,32,No
Alice,21,F,37,82,68,Yes
Grace,21,M,55,62,62,No
Tom,18,F,84,74,71,Yes
Henry,21,M,74,62,48,Yes
Ivy,22,M,72,37,73,Yes
Ivy,23,F,66,38,55,No
Rachel,21,M,73,97,74,Yes
Ivy,18,F,52,78,74,Yes
Bob,21,M,82,39,52,No
Olivia,19,F,61,91,74,Yes
Olivia,19,M,32,33,73,No
Liam,22,F,91,97,46,Yes
Rachel,18,F,54,56,86,Yes
Steve,20,F,92,80,73,Yes
Tom,21,M,67,85,52,Yes
Ivy,18,M,98,99,63,Yes
